,predicted_mean
1793,517.9345911758693
1794,517.624568189251
1795,510.13333290839006
1796,505.63443623374536
1797,503.1769434367193
1798,508.70200134396305
1799,516.3231409150474
1800,516.4857463317613
1801,509.32367746175726
1802,505.05331567794804
