,predicted_mean
1795,510.86940370702735
1796,506.34685137099177
1797,503.8539327192369
1798,509.2674281195778
1799,516.748888904852
1800,516.8519091769081
1801,509.7626778887972
1802,505.5753375845101
1803,503.312212125514
1804,508.88268988438193
